@relation movies
@attribute 'MovieId' numeric
@attribute 'Title' string
@attribute 'IsAction' { 0, 1}
@attribute 'IsAdventure' { 0, 1}
@attribute 'IsAnimation' { 0, 1}
@attribute 'IsBiography' { 0, 1}
@attribute 'IsComedy' { 0, 1}
@attribute 'IsCrime' { 0, 1}
@attribute 'IsDrama' { 0, 1}
@attribute 'IsRomance' { 0, 1}
@attribute 'IsFantasy' { 0, 1}
@attribute 'IsHorror' { 0, 1}
@attribute 'IsMistery' { 0, 1}
@attribute 'IsHistory' { 0, 1}
@attribute 'IsFamily' { 0, 1}
@attribute 'IsSport' { 0, 1}
@attribute 'IsWar' { 0, 1}
@attribute 'IsWestern' { 0, 1}
@attribute 'IsSciFi' { 0, 1}
@attribute 'IsThriller' { 0, 1}
@attribute 'Year' numeric
@attribute 'Rating' real
@attribute 'Votes' numeric
@attribute 'CriticScore' numeric
@data
169',13 Hours',1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016,7.3,76935,48
170',Spectre',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,6.8,308981,60
171',Nightcrawler',0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2014,7.9,332476,76
172',Kubo and the Two Strings',0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,7.9,72778,84
173',Beyond the Gates',0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016,5.2,2127,59
174',Her',0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2013,8,390531,90
175',Frozen',0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,7.5,451894,74
176',Tomorrowland',1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,6.5,143069,60
177',Dawn of the Planet of the Apes',1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2014,7.6,337777,79
178',Tropic Thunder',1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,7,321442,71
179',The Conjuring 2',0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2016,7.4,137203,65
180',Ant-Man',1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,7.3,368912,64
181',Bridget Jones's Baby',0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2016,6.7,43086,59
182',The VVitch: A New-England Folktale',0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015,6.8,101781,83
183',Cinderella',0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2015,7,117018,67
184',Realive',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,5.9,1176
185',Forushande',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2016,8,22389,85
186',Love',0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2015,6,24003,51
187',Billy Lynn's Long Halftime Walk',0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016,6.3,11944,53
188',Crimson Peak',0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2015,6.6,97454,66
189',Drive',0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2011,7.8,461509,78
190',Trainwreck',0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2015,6.3,106364,75
191',The Light Between Oceans',0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2016,7.2,27382,60
192',Below Her Mouth',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,5.6,1445,42
